size,prime_verb,pd_bias,pd_bias_ratio,DO-DO,DO-PD,PD-DO,PD-PD
7b-chat,FEED,0.2877443035759874,1.0378398875504584,0.579721395001195,0.420278604998805,0.40817871541664197,0.5918212845833581
7b-chat,BUY,0.4613668624590621,1.010689536680864,0.598881787015536,0.401118212984464,0.39981162704382595,0.600188372956174
7b-chat,CATCH,0.6571147274657047,0.9780425485816894,0.6754530377289488,0.3245469622710512,0.3608913344230743,0.6391086655769258
7b-chat,DELIVER,0.3459425891970488,1.0256144738737645,0.6179229325227652,0.38207706747723486,0.3911713526449291,0.6088286473550709
7b-chat,THROW,0.3065215174068242,1.0317335678829924,0.6368411688482732,0.36315883115172665,0.4164197294663006,0.5835802705336993
7b-chat,PROMISE,0.2515592383577412,1.0527978145333041,0.5469678279953977,0.4530321720046022,0.4012578564485957,0.5987421435514042
13b,BRING,0.4125953678186883,1.0180231435085714,0.5958492909037149,0.4041507090962851,0.41707894575042087,0.5829210542495792
13b,DRAW,0.6117236162534146,0.9866470604730666,0.6391522177125034,0.3608477822874965,0.3775857894034302,0.6224142105965699
13b,FIND,0.5370095230117916,0.9972680736112011,0.6393008632816239,0.36069913671837606,0.37354171896613675,0.6264582810338634
13b,GET,0.4037712945417728,1.018014234285285,0.6474258274403301,0.35257417255967,0.3863982416523134,0.6136017583476866
13b,GIVE,0.29299762016170294,1.0521723739980282,0.5599830900002775,0.44001690999972254,0.3585956812578208,0.6414043187421791
13b,KEEP,0.7668932050722248,0.9631365799783949,0.6576264333539276,0.3423735666460725,0.3934716175774324,0.6065283824225677
13b,LEAVE,0.5066217365774947,1.0011873130049582,0.6141024074781191,0.38589759252188083,0.380297775513404,0.6197022244865961
13b,MAKE,0.5088710113832231,1.000125226015383,0.6002054650765967,0.3997945349234034,0.37652584595340655,0.6234741540465935
13b,PURCHASE,0.7278930231087566,0.9671417113129688,0.6339028958493,0.36609710415069996,0.3923157074003346,0.6076842925996655
13b,SAVE,0.5542324586413054,0.9943106218948022,0.6339608309992658,0.3660391690007341,0.38896792825857057,0.6110320717414294
13b,SELL,0.4429269384215321,1.0139202852537987,0.58613337259905,0.41386662740095004,0.37280992565189786,0.6271900743481021
13b,SEND,0.40216910594334493,1.0225868377365244,0.5809380469966663,0.41906195300333365,0.4008179725186313,0.5991820274813686
13b,SHOW,0.24226051217846856,1.0594707030550123,0.5516444977620851,0.44835550223791487,0.3907488352524367,0.6092511647475632
13b,SUPPLY,0.4984155901047597,0.9996583262901015,0.6113536897487469,0.38864631025125296,0.40727869624692326,0.5927213037530767
13b,DESIGN,0.854330888453571,0.9405650801876619,0.6478560178529036,0.35214398214709636,0.40922356244094077,0.5907764375590592
13b,TAKE,0.5896207052343093,0.9848507104098827,0.6450386750911559,0.354961324908844,0.4359303275585688,0.5640696724414311
13b,FEED,0.2998546712916273,1.036131694002252,0.547956973095588,0.452043026904412,0.37836938895820443,0.6216306110417957
13b,BUY,0.35461610040373576,1.0260089100721728,0.6038124916203446,0.3961875083796554,0.370350277420144,0.629649722579856
13b,CATCH,0.5962660077357703,0.9879490172478619,0.6438521935888255,0.35614780641117444,0.3724862865594273,0.6275137134405727
13b,DELIVER,0.3631840092745328,1.0188418575013491,0.6292486185893704,0.3707513814106295,0.3694100764766894,0.6305899235233106
13b,THROW,0.4603808340595946,1.0095012431577186,0.5896197250948075,0.41038027490519247,0.39075650007301377,0.6092434999269862
13b,PROMISE,0.2485804705430735,1.0569071226830957,0.5655301423941564,0.43446985760584356,0.3842714589531169,0.6157285410468831
