size,pronoun,prime_verb,pd_bias,pd_bias_ratio,target_verb,DO-DO,DO-PD,PD-DO,PD-PD
13b,True,SUPPLY,0.2522604728675009,1.0315920660046953,SAVE,0.6782295506565519,0.32177044934344806,0.5104391246234721,0.4895608753765279
13b,True,SUPPLY,0.2522604728675009,1.0315920660046953,SELL,0.911269136775278,0.08873086322472204,0.6227643276720515,0.37723567232794847
13b,True,SUPPLY,0.2522604728675009,1.0315920660046953,SEND,0.9042214996955983,0.09577850030440173,0.6779177523838742,0.32208224761612586
13b,True,SUPPLY,0.2522604728675009,1.0315920660046953,SHOW,0.9763609968973579,0.023639003102641953,0.8567610168626736,0.14323898313732653
13b,True,SUPPLY,0.2522604728675009,1.0315920660046953,DESIGN,0.38325028445793363,0.6167497155420664,0.2003959849129744,0.7996040150870256
13b,True,SUPPLY,0.2522604728675009,1.0315920660046953,TAKE,0.684293917273181,0.31570608272681894,0.44173984163502344,0.5582601583649764
13b,True,SUPPLY,0.2522604728675009,1.0315920660046953,FEED,0.9102188071791955,0.08978119282080459,0.7248999727756624,0.27510002722433763
13b,True,SUPPLY,0.2522604728675009,1.0315920660046953,BUY,0.8885077169251757,0.11149228307482424,0.703839190283022,0.296160809716978
13b,True,SUPPLY,0.2522604728675009,1.0315920660046953,CATCH,0.6580594152351307,0.3419405847648694,0.5635996105170453,0.4364003894829547
13b,True,SUPPLY,0.2522604728675009,1.0315920660046953,DELIVER,0.943127960038331,0.05687203996166903,0.8335533157468142,0.16644668425318565
13b,True,SUPPLY,0.2522604728675009,1.0315920660046953,THROW,0.843547421508651,0.15645257849134897,0.6423876571650885,0.3576123428349114
13b,True,SUPPLY,0.2522604728675009,1.0315920660046953,PROMISE,0.9467733637755908,0.05322663622440921,0.8112814873605606,0.18871851263943953
13b,True,DESIGN,0.7956651746745932,0.9523933812394548,BRING,0.8155545163122155,0.18444548368778446,0.7279159918428987,0.27208400815710126
13b,True,DESIGN,0.7956651746745932,0.9523933812394548,DRAW,0.7158673903735158,0.28413260962648423,0.42389673067404815,0.5761032693259519
13b,True,DESIGN,0.7956651746745932,0.9523933812394548,FIND,0.7043382000286187,0.2956617999713813,0.3410556020914146,0.6589443979085854
13b,True,DESIGN,0.7956651746745932,0.9523933812394548,GET,0.8590119149414497,0.14098808505855037,0.5987082411104809,0.40129175888951907
13b,True,DESIGN,0.7956651746745932,0.9523933812394548,GIVE,0.9393381316380552,0.06066186836194475,0.911545803052901,0.08845419694709906
13b,True,DESIGN,0.7956651746745932,0.9523933812394548,KEEP,0.6722274408625435,0.32777255913745657,0.36409080062352606,0.6359091993764738
13b,True,DESIGN,0.7956651746745932,0.9523933812394548,LEAVE,0.7194273218820915,0.2805726781179084,0.4720860995332539,0.527913900466746
13b,True,DESIGN,0.7956651746745932,0.9523933812394548,MAKE,0.7257831455798253,0.2742168544201748,0.35851952013259286,0.6414804798674071
13b,True,DESIGN,0.7956651746745932,0.9523933812394548,PURCHASE,0.6180078963291986,0.3819921036708014,0.21902200298183402,0.780977997018166
13b,True,DESIGN,0.7956651746745932,0.9523933812394548,SAVE,0.8305529121333964,0.16944708786660342,0.5349690469449895,0.46503095305501063
13b,True,DESIGN,0.7956651746745932,0.9523933812394548,SELL,0.9244385355798144,0.07556146442018573,0.814288591883372,0.18571140811662792
13b,True,DESIGN,0.7956651746745932,0.9523933812394548,SEND,0.9110197053642629,0.08898029463573706,0.8239970660105108,0.1760029339894892
13b,True,DESIGN,0.7956651746745932,0.9523933812394548,SHOW,0.9687549307416496,0.03124506925835045,0.9547654626059223,0.045234537394077734
13b,True,DESIGN,0.7956651746745932,0.9523933812394548,SUPPLY,0.8832827229332247,0.11671727706677544,0.747459187010306,0.25254081298969394
13b,True,DESIGN,0.7956651746745932,0.9523933812394548,TAKE,0.6565039038237067,0.34349609617629334,0.46651283930234827,0.5334871606976518
13b,True,DESIGN,0.7956651746745932,0.9523933812394548,FEED,0.9383791799306672,0.0616208200693328,0.8434713074298367,0.15652869257016339
13b,True,DESIGN,0.7956651746745932,0.9523933812394548,BUY,0.8897276026752327,0.11027239732476733,0.6107462126926542,0.3892537873073458
13b,True,DESIGN,0.7956651746745932,0.9523933812394548,CATCH,0.7606196705834182,0.23938032941658188,0.5068924325425018,0.4931075674574981
13b,True,DESIGN,0.7956651746745932,0.9523933812394548,DELIVER,0.8796597613142138,0.1203402386857864,0.6176162821288053,0.38238371787119474
13b,True,DESIGN,0.7956651746745932,0.9523933812394548,THROW,0.8027739877919609,0.19722601220803904,0.6665437716723345,0.3334562283276655
13b,True,DESIGN,0.7956651746745932,0.9523933812394548,PROMISE,0.9666698060001364,0.03333019399986356,0.932682025095097,0.06731797490490285
13b,True,TAKE,0.4415685878547752,1.009852962844131,BRING,0.8651646261607272,0.134835373839273,0.6578973036671394,0.34210269633286056
13b,True,TAKE,0.4415685878547752,1.009852962844131,DRAW,0.7474028868278356,0.25259711317216454,0.5580793831847481,0.4419206168152519
13b,True,TAKE,0.4415685878547752,1.009852962844131,FIND,0.7426773584602645,0.25732264153973555,0.5509185279849497,0.4490814720150504
13b,True,TAKE,0.4415685878547752,1.009852962844131,GET,0.7774493523346464,0.22255064766535354,0.6854951975104074,0.31450480248959256
13b,True,TAKE,0.4415685878547752,1.009852962844131,GIVE,0.9364892136202664,0.06351078637973365,0.8639196161620678,0.1360803838379322
13b,True,TAKE,0.4415685878547752,1.009852962844131,KEEP,0.5884779217959111,0.4115220782040889,0.4132058580437566,0.5867941419562435
13b,True,TAKE,0.4415685878547752,1.009852962844131,LEAVE,0.7548116148760238,0.24518838512397617,0.6085701792439424,0.39142982075605753
13b,True,TAKE,0.4415685878547752,1.009852962844131,MAKE,0.6814648874319549,0.3185351125680451,0.5267271979340564,0.4732728020659435
13b,True,TAKE,0.4415685878547752,1.009852962844131,PURCHASE,0.5012018508660337,0.4987981491339663,0.3278682634368434,0.6721317365631566
13b,True,TAKE,0.4415685878547752,1.009852962844131,SAVE,0.7598451297058005,0.24015487029419938,0.5803688549556094,0.41963114504439064
13b,True,TAKE,0.4415685878547752,1.009852962844131,SELL,0.9119552616334423,0.08804473836655777,0.7197610763948219,0.280238923605178
13b,True,TAKE,0.4415685878547752,1.009852962844131,SEND,0.897110978318116,0.10288902168188414,0.7402928986137753,0.2597071013862246
13b,True,TAKE,0.4415685878547752,1.009852962844131,SHOW,0.9679537988850458,0.0320462011149541,0.9194970846527803,0.08050291534721973
13b,True,TAKE,0.4415685878547752,1.009852962844131,SUPPLY,0.8605788613665476,0.1394211386334525,0.6404747190226959,0.3595252809773041
13b,True,TAKE,0.4415685878547752,1.009852962844131,DESIGN,0.32284456158966507,0.677155438410335,0.18143639998269642,0.8185636000173035
13b,True,TAKE,0.4415685878547752,1.009852962844131,FEED,0.9410791051576629,0.0589208948423372,0.7820289969517294,0.21797100304827058
13b,True,TAKE,0.4415685878547752,1.009852962844131,BUY,0.8574268097436983,0.14257319025630155,0.737760294203416,0.2622397057965839
13b,True,TAKE,0.4415685878547752,1.009852962844131,CATCH,0.7697209369121287,0.2302790630878712,0.5483652831691791,0.45163471683082085
13b,True,TAKE,0.4415685878547752,1.009852962844131,DELIVER,0.891676884756849,0.10832311524315105,0.8120619618305939,0.18793803816940616
13b,True,TAKE,0.4415685878547752,1.009852962844131,THROW,0.769099713724327,0.2309002862756731,0.5912502145420402,0.4087497854579597
13b,True,TAKE,0.4415685878547752,1.009852962844131,PROMISE,0.9416065462238898,0.058393453776110105,0.9207414421351579,0.07925855786484223
13b,True,FEED,0.1045993938720084,1.067222396531625,BRING,0.895720052927176,0.10427994707282401,0.6606014248137728,0.3393985751862272
13b,True,FEED,0.1045993938720084,1.067222396531625,DRAW,0.6492080054373656,0.3507919945626344,0.5163848504407562,0.4836151495592438
13b,True,FEED,0.1045993938720084,1.067222396531625,FIND,0.7333973157070227,0.2666026842929774,0.5307344865950874,0.46926551340491257
13b,True,FEED,0.1045993938720084,1.067222396531625,GET,0.8017720706296558,0.19822792937034425,0.6720973660195514,0.3279026339804485
13b,True,FEED,0.1045993938720084,1.067222396531625,GIVE,0.9249587040480282,0.07504129595197194,0.8005031943832626,0.19949680561673752
13b,True,FEED,0.1045993938720084,1.067222396531625,KEEP,0.4523879692989624,0.5476120307010376,0.3461803762846383,0.6538196237153616
13b,True,FEED,0.1045993938720084,1.067222396531625,LEAVE,0.6939310824810423,0.30606891751895765,0.5430501773720998,0.45694982262790007
13b,True,FEED,0.1045993938720084,1.067222396531625,MAKE,0.6359050643919414,0.36409493560805856,0.5001392874707469,0.4998607125292531
13b,True,FEED,0.1045993938720084,1.067222396531625,PURCHASE,0.4342316843187815,0.5657683156812184,0.28623336933446003,0.71376663066554
