size,pronoun,prime_verb,pd_bias,pd_bias_ratio,DO-DO,DO-PD,PD-DO,PD-PD
7b,False,FEED,0.4987830624984457,1.001122583032268,0.38936544583308097,0.6106345541669191,0.20268701673860134,0.7973129832613987
7b,False,BUY,0.4259050155526796,1.010374520809245,0.4083539452953384,0.5916460547046615,0.196201344097498,0.803798655902502
7b,False,CATCH,0.7482832543280966,0.97019278131495,0.5214213667295585,0.4785786332704414,0.17326354352676687,0.8267364564732331
7b,False,DELIVER,0.4361194218201654,1.0079604336784989,0.44674969331383974,0.5532503066861603,0.20440846612549876,0.7955915338745011
7b,False,THROW,0.5769079292064451,0.9921559238902182,0.4599577582553466,0.5400422417446534,0.22642779196581034,0.7735722080341896
7b,False,PROMISE,0.34451680302344506,1.018759465989664,0.38408322388099864,0.6159167761190013,0.21004479778753551,0.7899552022124646
7b-chat,True,BRING,0.21636074703963895,1.06182319376111,0.7640930561794962,0.2359069438205038,0.6205816252025199,0.37941837479748014
7b-chat,True,DRAW,0.6253246163120721,0.9844232421795907,0.8107132299959421,0.18928677000405802,0.5819859718915755,0.41801402810842453
7b-chat,True,FIND,0.4750937902269939,1.0079645845835001,0.7870919775080912,0.21290802249190885,0.5729666060472128,0.4270333939527872
7b-chat,True,GET,0.3250442485257054,1.029350921093138,0.7848756391467424,0.21512436085325762,0.5839410644336824,0.4160589355663175
7b-chat,True,GIVE,0.10022189423299323,1.0938188373705644,0.7471132283704061,0.2528867716295939,0.5876072632429594,0.4123927367570404
7b-chat,True,KEEP,0.6259760624042846,0.9827333677996316,0.8137545009355952,0.18624549906440463,0.6003458620059587,0.3996541379940411
7b-chat,True,LEAVE,0.5024912889868022,1.0015224045827298,0.7964380692423628,0.20356193075763712,0.6077731876488922,0.39222681235110773
7b-chat,True,MAKE,0.5370608153808772,0.9962996925487765,0.7815847266748659,0.21841527332513397,0.5829240306554334,0.4170759693445666
7b-chat,True,PURCHASE,0.7442885487620415,0.9626864484607,0.7770346281336528,0.2229653718663471,0.6109338361193176,0.3890661638806824
7b-chat,True,SAVE,0.45758788590670746,1.0055032137008595,0.763732835735483,0.23626716426451713,0.5879444465468714,0.4120555534531285
7b-chat,True,SELL,0.24452347503582036,1.0527580081051244,0.7564941461269075,0.24350585387309254,0.5915422457432987,0.4084577542567013
7b-chat,True,SEND,0.31578049018338744,1.0333211584856536,0.7619740502031795,0.2380259497968203,0.6168165915915185,0.38318340840848153
7b-chat,True,SHOW,0.052575191124043255,1.0867777484148649,0.7355890891604833,0.2644109108395169,0.5898630968685445,0.4101369031314554
7b-chat,True,SUPPLY,0.547703908024877,0.9944074431849548,0.7616465686683547,0.23835343133164524,0.6147983826200165,0.3852016173799835
7b-chat,True,DESIGN,0.6933394283545522,0.9709421200488721,0.7881780913924081,0.21182190860759179,0.6032843280387609,0.3967156719612392
7b-chat,True,TAKE,0.6218340996075041,0.985001426645927,0.8209649620695206,0.1790350379304793,0.6147457907014504,0.3852542092985496
7b-chat,True,FEED,0.14485230280489783,1.06213109592766,0.7482831924678265,0.2517168075321735,0.5877715597820568,0.4122284402179433
7b-chat,True,BUY,0.45172063986719774,1.0129142622375766,0.7686377440100446,0.23136225598995525,0.591554967960875,0.408445032039125
7b-chat,True,CATCH,0.5758801180509243,0.9879861875368602,0.80723502585063,0.19276497414937008,0.5407895908395728,0.45921040916042727
7b-chat,True,DELIVER,0.29158717972735704,1.0343033961830304,0.7727229246088362,0.22727707539116368,0.5754448403691345,0.4245551596308655
7b-chat,True,THROW,0.20827315044401562,1.0476900726317613,0.7833123675541133,0.2166876324458866,0.5878863715874569,0.4121136284125432
