size,target_verb,PD-PD_slope,PD-PD_intercept,DO-PD_slope,DO-PD_intercept,PD-PD_R2,PD-PD_RMSE,DO-PD_R2,DO-PD_RMSE
13b,MAKE,0.23225257729070053,0.557800598783183,-0.17905266172733075,0.5133716591660048,0.26350389513326,0.06347802648828484,0.376101083849005,0.03770133868606432
13b,PURCHASE,0.06903016632604851,0.7953317871317068,-0.1703053132449819,0.6580416872157073,0.0724472188930615,0.03811891536975878,0.15071048316058,0.06239179872630413
13b,SAVE,0.02543898103536864,0.6874773017322302,-0.30450831122994576,0.5393367098337417,0.006461149770375596,0.05136870531712159,0.5213390961485811,0.047513209435964474
13b,SELL,-0.20354244494617268,0.6820370868178024,-0.004897866281164373,0.3643075661955235,0.3376287904381896,0.04655404101502758,0.000988548718590776,0.025425208864759918
13b,SEND,-0.18447556714162927,0.6326337862803116,-0.06847092298474336,0.39719586486435804,0.32520541093935085,0.04318482742106805,0.19937264920942532,0.02229841651305421
13b,SHOW,-0.13385754479560807,0.43136909955026936,0.046331180638066,0.19462873994287225,0.2566022584689681,0.03515568661320052,0.16065384310556852,0.016340701959826044
13b,SUPPLY,-0.21814835444272754,0.6930172407820145,-0.06709694268279817,0.38458359420255017,0.2859521141360557,0.05637623490894905,0.06962577557174388,0.04011193913266523
13b,DESIGN,0.058595276466158405,0.8891826674572987,-0.29102356822431275,0.8932291770819809,0.11934619842296523,0.02248654961987785,0.6415992674966542,0.030728586085523486
13b,TAKE,-0.10756240552706067,0.7881693752492672,-0.19593716806974582,0.6349301986512018,0.15874556357877523,0.040087934207316024,0.28380255949301536,0.05039243457844902
13b,FEED,-0.12983356874855972,0.5128211623742921,-0.03760214544286623,0.28501272908540265,0.17876640929248921,0.044034602245771534,0.08963088289274979,0.0189630956257382
13b,BUY,0.06994821128757732,0.518585132652094,-0.13817158988361428,0.3301918136779021,0.03234971160092104,0.06157118672142238,0.3167342605781458,0.03266201382641166
13b,CATCH,0.12864918456297486,0.5867034225917589,-0.36106339527621006,0.54178456457265,0.08587521660652564,0.06786154040833503,0.5293197779306151,0.0550471999075798
13b,DELIVER,0.40711954164217423,0.26808206364517634,0.016234437398479486,0.2092166830546711,0.2748155830279384,0.10666105632220954,0.008316600414185582,0.028591123679141038
13b,THROW,-0.16306001100384301,0.6452771703116866,-0.05177415785651051,0.4023941587279643,0.22608442200461998,0.049318071519573306,0.08747290201297753,0.027336713737006194
13b,PROMISE,-0.14559472860322467,0.4648691003142539,-0.021766494130810155,0.2787143700809337,0.2627390486632374,0.03775209960618645,0.025281388407425998,0.020920632343335487
