size,pronoun,target_verb,PD-PD_slope,PD-PD_intercept,DO-PD_slope,DO-PD_intercept,PD-PD_R2,PD-PD_RMSE,DO-PD_R2,DO-PD_RMSE
7b,True,CATCH,0.16040891990624973,0.5554014076365557,-0.24959195804147705,0.4309309924842143,0.16283401655351648,0.07522346407035284,0.5197843350144037,0.049616800039504874
7b,True,DELIVER,0.31381268775020554,0.12901689277189002,0.02050722447495194,0.0659591599206326,0.3957623632765598,0.0810107934831845,0.07234996922359271,0.015341419228527638
7b,True,THROW,-0.14780099284378573,0.36377445754616117,-0.0012125076826588505,0.15016823176835867,0.21591865914517017,0.05918679682521489,0.00021445986347767843,0.017397102619729723
7b,True,PROMISE,-0.11767687751768721,0.12806523773300674,0.011130448152566167,0.02268561906339652,0.3203612142384933,0.034231675175344825,0.11267768099271824,0.006238099646609593
7b,False,BRING,-0.008952981198323584,0.8490145385817164,0.058220737629843575,0.5996620042529057,0.002046600975227575,0.032203712842088,0.040973849331030876,0.045881676204926704
7b,False,DRAW,0.06671204588525544,0.8158981113639959,-0.1519733790181661,0.7523865432783082,0.05844885850052761,0.043166155654203654,0.12390861068786008,0.065147335011766
7b,False,FIND,-0.053501070586880375,0.8216262242792906,-0.21843771841033072,0.6492674306095546,0.012533727668819106,0.07733367235725125,0.21631171324679843,0.06770869511468022
7b,False,GET,0.01731944661007995,0.8010724936367041,-0.12958961819646167,0.5719964452179035,0.001584251669752068,0.07056173283404064,0.12526821053885595,0.05557491794211443
7b,False,GIVE,-0.03503652847298707,0.772006871105777,-0.014876642261529145,0.5415481989390476,0.04010328843784394,0.027872515647870688,0.002122990415199144,0.05244477807022363
7b,False,KEEP,-0.058551371944160525,0.8591637817768977,-0.21983203173553462,0.7034665396090157,0.025797790885426775,0.05868250199280628,0.23822296651131913,0.06411377483251061
7b,False,LEAVE,-0.012291588418541027,0.8215233283484896,-0.1397598800383681,0.663859495602216,0.003414211038928694,0.03430475731382415,0.16847198494045568,0.05072140714232151
