size,prime_verb,pd_bias,pd_bias_ratio,target_verb,DO-DO,DO-PD,PD-DO,PD-PD
7b,KEEP,0.6558695675456072,0.9788564858198454,SUPPLY,0.6835715345463745,0.31642846545362535,0.49545523249595286,0.5045447675040472
7b,KEEP,0.6558695675456072,0.9788564858198454,DESIGN,0.267188494859754,0.7328115051402461,0.07843361432313091,0.9215663856768691
7b,KEEP,0.6558695675456072,0.9788564858198454,TAKE,0.5402429726630789,0.45975702733692114,0.3019285550465886,0.6980714449534113
7b,KEEP,0.6558695675456072,0.9788564858198454,FEED,0.7700462193774364,0.22995378062256344,0.6158428031653677,0.3841571968346323
7b,KEEP,0.6558695675456072,0.9788564858198454,BUY,0.7512851614253223,0.24871483857467766,0.44313630029400675,0.5568636997059933
7b,KEEP,0.6558695675456072,0.9788564858198454,CATCH,0.7032110842135338,0.29678891578646627,0.23806062343695455,0.7619393765630454
7b,KEEP,0.6558695675456072,0.9788564858198454,DELIVER,0.8037049298696484,0.19629507013035158,0.45294526334667096,0.547054736653329
7b,KEEP,0.6558695675456072,0.9788564858198454,THROW,0.697929622277629,0.30207037772237094,0.5130687177596943,0.4869312822403057
7b,KEEP,0.6558695675456072,0.9788564858198454,PROMISE,0.7923824780430919,0.2076175219569081,0.6757209989308243,0.3242790010691758
7b,LEAVE,0.5133272384475933,0.9997201597467301,BRING,0.6157406220110473,0.38425937798895277,0.49859269136700246,0.5014073086329974
7b,LEAVE,0.5133272384475933,0.9997201597467301,DRAW,0.5551840499407579,0.44481595005924207,0.2938493232717743,0.7061506767282256
7b,LEAVE,0.5133272384475933,0.9997201597467301,FIND,0.6816906897537024,0.3183093102462976,0.3402856316397039,0.6597143683602961
7b,LEAVE,0.5133272384475933,0.9997201597467301,GET,0.7037108362372755,0.2962891637627244,0.39059973154585925,0.6094002684541407
7b,LEAVE,0.5133272384475933,0.9997201597467301,GIVE,0.7112900524160994,0.28870994758390056,0.5880725727947825,0.4119274272052175
7b,LEAVE,0.5133272384475933,0.9997201597467301,KEEP,0.53249612699573,0.46750387300426977,0.17511605254601026,0.8248839474539896
7b,LEAVE,0.5133272384475933,0.9997201597467301,MAKE,0.5510983103666435,0.4489016896333565,0.2855955080385989,0.7144044919614011
7b,LEAVE,0.5133272384475933,0.9997201597467301,PURCHASE,0.40648652432084875,0.5935134756791512,0.18333607877532937,0.8166639212246706
7b,LEAVE,0.5133272384475933,0.9997201597467301,SAVE,0.6404611911704795,0.3595388088295205,0.3289128936509472,0.6710871063490527
7b,LEAVE,0.5133272384475933,0.9997201597467301,SELL,0.6048832249714233,0.39511677502857667,0.46451995868559665,0.5354800413144034
7b,LEAVE,0.5133272384475933,0.9997201597467301,SEND,0.675911894566246,0.32408810543375394,0.5158079700687201,0.4841920299312798
7b,LEAVE,0.5133272384475933,0.9997201597467301,SHOW,0.7275117209201738,0.2724882790798262,0.6447196140822862,0.35528038591771377
7b,LEAVE,0.5133272384475933,0.9997201597467301,SUPPLY,0.6846201184525572,0.3153798815474429,0.4973536548895018,0.5026463451104982
7b,LEAVE,0.5133272384475933,0.9997201597467301,DESIGN,0.22043688307864404,0.7795631169213558,0.09109445383873543,0.9089055461612645
7b,LEAVE,0.5133272384475933,0.9997201597467301,TAKE,0.443457858905018,0.556542141094982,0.2784420574605633,0.7215579425394367
7b,LEAVE,0.5133272384475933,0.9997201597467301,FEED,0.7570350424292066,0.24296495757079334,0.6356786199206177,0.36432138007938236
7b,LEAVE,0.5133272384475933,0.9997201597467301,BUY,0.7274238055572481,0.27257619444275194,0.49256102381952466,0.5074389761804754
7b,LEAVE,0.5133272384475933,0.9997201597467301,CATCH,0.5861654769512675,0.4138345230487325,0.2617385077968144,0.7382614922031856
7b,LEAVE,0.5133272384475933,0.9997201597467301,DELIVER,0.8162512718288112,0.1837487281711888,0.4937061111037617,0.5062938888962382
7b,LEAVE,0.5133272384475933,0.9997201597467301,THROW,0.6771483337488323,0.32285166625116773,0.49010936349913664,0.5098906365008634
