size,pronoun,squared,prime_verb,pd_bias,pd_bias_ratio,DO-DO,DO-PD,PD-DO,PD-PD
small,False,True,BRING,0.8180421030610068,0.954050352786475,0.48047305478821706,0.519526945211783,0.2195126081899185,0.7804873918100815
small,False,True,DRAW,0.8344661629554287,0.9509566375967714,0.4845408783456704,0.5154591216543296,0.2038087470144883,0.7961912529855117
small,False,True,FIND,0.832445893973126,0.9542868698455603,0.48470304093978983,0.5152969590602103,0.18739025824999525,0.8126097417500048
small,False,True,GET,0.6459250458464543,0.9809269878115138,0.47204032535189916,0.5279596746481008,0.19980724159650537,0.8001927584034948
small,False,True,GIVE,0.42219387868963376,1.0108883045242674,0.3343986114030954,0.6656013885969045,0.18943776937390347,0.8105622306260966
small,False,True,KEEP,0.8592806402147817,0.9506101498638874,0.5112860542620973,0.4887139457379028,0.18526158670874412,0.8147384132912558
small,False,True,LEAVE,0.8882106742505979,0.9441367200721987,0.46055683028244737,0.5394431697175527,0.19450973333906826,0.8054902666609318
small,False,True,MAKE,0.7916990017608706,0.9507428220925993,0.4101505748002266,0.5898494251997735,0.1818899050617371,0.8181100949382629
small,False,True,PURCHASE,0.9475316517769848,0.925644049061646,0.5334562285523538,0.4665437714476462,0.202208973989034,0.7977910260109659
small,False,True,SAVE,0.8954584072586842,0.9419733086036101,0.5028958617480075,0.4971041382519925,0.2032194175588838,0.7967805824411162
small,False,True,SELL,0.8577945864583786,0.9468297523013812,0.46479732919258326,0.5352026708074168,0.23146039597774992,0.7685396040222501
small,False,True,SEND,0.8168025400559603,0.9584771955933826,0.4555961336463406,0.5444038663536594,0.22750833583422195,0.772491664165778
small,False,True,SHOW,0.4052449523709813,1.0120141999968062,0.35209025628082946,0.6479097437191705,0.19569843508180917,0.8043015649181907
small,False,True,SUPPLY,0.8430313354325352,0.9544149386759595,0.46136571844903823,0.5386342815509618,0.20969839652491531,0.7903016034750847
small,False,True,DESIGN,0.9840455244247182,0.8979821079265414,0.47782817568717734,0.5221718243128227,0.20481194723823712,0.7951880527617629
small,False,True,TAKE,0.9336755605514614,0.9250273165941759,0.5265278418708563,0.4734721581291438,0.23550618974901633,0.7644938102509837
