size,pronoun,squared,target_verb,PD-PD_slope,PD-PD_intercept,DO-PD_slope,DO-PD_intercept,PD-PD_R2,PD-PD_RMSE,DO-PD_R2,DO-PD_RMSE
small,False,True,FIND,0.03640170586587923,0.9001324146145918,-0.3173580674182865,0.9049721390005935,0.03511331936734652,0.03621945748674415,0.5224617458572836,0.057589640857795096
small,False,True,GET,0.13944318485773924,0.6540622668879569,-0.28452422600318183,0.6603724955025646,0.11265441341206672,0.07433304635167887,0.5550748739162703,0.0483837225290752
small,False,True,GIVE,-0.04334040125807926,0.6198951736923487,0.03618366837934781,0.3273095296026193,0.0305384049618056,0.04337881696278282,0.031063634871495216,0.03589853553281999
small,False,True,KEEP,0.06377085075907303,0.8585630930337045,-0.23197061669240887,0.8448318852075343,0.11226283387373848,0.033899503375431184,0.5440891366426722,0.04014069098538919
small,False,True,LEAVE,0.054784043443214026,0.9046290744888864,-0.2792790457943896,0.9179149063466091,0.1277972491734154,0.026904773261415823,0.5966173877417554,0.043169425202640686
small,False,True,MAKE,0.036966676505587645,0.8609942310202412,-0.21605487566691894,0.8502361485072422,0.03982034160124748,0.03460147791619563,0.4661125570243111,0.04407618580680421
small,False,True,PURCHASE,0.03284026791975725,0.9468710683696827,-0.2831423507859083,0.9450664509440022,0.09255315797675567,0.019034995056548206,0.3125564329257594,0.07773028133661833
small,False,True,SAVE,0.038971889594824505,0.9027393558958632,-0.22764041102143034,0.8881428402946612,0.04610848392223321,0.03326953773807956,0.40830292224795417,0.05143326098636923
small,False,True,SELL,-0.02953162769409644,0.9416967828971238,-0.09247933860189492,0.784040275938155,0.05713052889926118,0.022684846460801805,0.13167650273846054,0.04490432215022142
small,False,True,SEND,-0.04840616683809124,0.8691513020309033,-0.010568549603605768,0.5430976543935024,0.0560020812571731,0.03779453365841703,0.0013928761616812668,0.05381475038437211
small,False,True,SHOW,-0.14635568323178172,0.5691855515995699,0.02853778091190423,0.1609406712791648,0.1051430032500712,0.07518812214428004,0.03247560501730262,0.02742998390880446
small,False,True,SUPPLY,-0.05028298843275187,0.9232648757737489,-0.12135705252757303,0.6484124761055863,0.10994478305605193,0.02711534962097878,0.17623859040914858,0.04972653543932939
small,False,True,DESIGN,0.008764802600041012,0.9870730641570479,-0.12133430738496305,1.0322468455743192,0.19089023176567588,0.0032993423470579534,0.5526911455104129,0.0199581132088574
small,False,True,TAKE,-0.02029772169279508,0.9789804600253851,-0.18624537219043133,0.9345791171572926,0.1339744858182198,0.009592084016324741,0.35292272446651984,0.046874337134765964
small,False,True,FEED,-0.10927842274398389,0.6094839757132481,-0.016156505612249718,0.24788674241763406,0.08167340953154367,0.06489837458107973,0.00494331613317045,0.0405978765580469
small,False,True,BUY,0.1744058732723143,0.6549229188372646,-0.2888603516069679,0.6291894682481979,0.14499925657358725,0.08081188568934619,0.4646761585459026,0.05916090509439207
