size,pronoun,squared,prime_verb,pd_bias,pd_bias_ratio,target_verb,DO-DO,DO-PD,PD-DO,PD-PD
small,False,False,KEEP,0.8592806402147817,0.9506101498638874,TAKE,0.23105315659047362,0.7689468434095263,0.04413007378657832,0.9558699262134218
small,False,False,KEEP,0.8592806402147817,0.9506101498638874,FEED,0.7392549094295882,0.2607450905704118,0.4743639725256558,0.5256360274743441
small,False,False,KEEP,0.8592806402147817,0.9506101498638874,BUY,0.5407555607415011,0.45924443925849884,0.11324017690648484,0.8867598230935152
small,False,False,KEEP,0.8592806402147817,0.9506101498638874,CATCH,0.6166875984368858,0.3833124015631143,0.1464492555734295,0.8535507444265704
small,False,False,KEEP,0.8592806402147817,0.9506101498638874,DELIVER,0.6337910883615323,0.36620891163846764,0.27508030201769595,0.724919697982304
small,False,False,KEEP,0.8592806402147817,0.9506101498638874,THROW,0.6067203772039363,0.39327962279606354,0.33790600707807583,0.6620939929219242
small,False,False,KEEP,0.8592806402147817,0.9506101498638874,PROMISE,0.8073162658157083,0.19268373418429166,0.6574864445491254,0.3425135554508747
small,False,False,LEAVE,0.8882106742505979,0.9441367200721987,BRING,0.360231439478666,0.639768560521334,0.13870377614455034,0.8612962238554496
small,False,False,LEAVE,0.8882106742505979,0.9441367200721987,DRAW,0.29246488515999525,0.7075351148400049,0.08099585735528533,0.9190041426447146
small,False,False,LEAVE,0.8882106742505979,0.9441367200721987,FIND,0.3151212592240527,0.6848787407759472,0.05463119114770932,0.9453688088522907
small,False,False,LEAVE,0.8882106742505979,0.9441367200721987,GET,0.49143954598340855,0.5085604540165913,0.19279309115155566,0.8072069088484443
small,False,False,LEAVE,0.8882106742505979,0.9441367200721987,GIVE,0.5961300149733479,0.40386998502665206,0.4268126492359981,0.5731873507640018
small,False,False,LEAVE,0.8882106742505979,0.9441367200721987,KEEP,0.35395420099136243,0.6460457990086375,0.0752287326546983,0.9247712673453017
small,False,False,LEAVE,0.8882106742505979,0.9441367200721987,MAKE,0.29825023817672885,0.7017497618232711,0.09025522693634624,0.9097447730636538
small,False,False,LEAVE,0.8882106742505979,0.9441367200721987,PURCHASE,0.17505272537190725,0.8249472746280927,0.014901086568039573,0.9850989134319604
small,False,False,LEAVE,0.8882106742505979,0.9441367200721987,SAVE,0.2405842289074814,0.7594157710925186,0.03620543873138063,0.9637945612686195
small,False,False,LEAVE,0.8882106742505979,0.9441367200721987,SELL,0.2302061033010616,0.7697938966989385,0.07802353957435161,0.9219764604256483
small,False,False,LEAVE,0.8882106742505979,0.9441367200721987,SEND,0.4105367553653131,0.5894632446346868,0.18827116773143637,0.8117288322685635
small,False,False,LEAVE,0.8882106742505979,0.9441367200721987,SHOW,0.748586677708077,0.25141332229192304,0.5561402019687239,0.44385979803127606
small,False,False,LEAVE,0.8882106742505979,0.9441367200721987,SUPPLY,0.3787770636103295,0.6212229363896705,0.12142385564916525,0.8785761443508346
small,False,False,LEAVE,0.8882106742505979,0.9441367200721987,DESIGN,0.048673141333363736,0.9513268586666364,0.0052259760674863535,0.9947740239325137
small,False,False,LEAVE,0.8882106742505979,0.9441367200721987,TAKE,0.1487110587268443,0.8512889412731556,0.03665659501699062,0.9633434049830094
small,False,False,LEAVE,0.8882106742505979,0.9441367200721987,FEED,0.6956125530461424,0.30438744695385755,0.4829610410603976,0.5170389589396024
small,False,False,LEAVE,0.8882106742505979,0.9441367200721987,BUY,0.5160592536929364,0.48394074630706363,0.18164645753484693,0.8183535424651529
small,False,False,LEAVE,0.8882106742505979,0.9441367200721987,CATCH,0.58891215635586,0.4110878436441399,0.23138970115878155,0.7686102988412185
small,False,False,LEAVE,0.8882106742505979,0.9441367200721987,DELIVER,0.6117314752264795,0.3882685247735205,0.28892758396787954,0.7110724160321205
small,False,False,LEAVE,0.8882106742505979,0.9441367200721987,THROW,0.6031750563101851,0.39682494368981497,0.35395656283630367,0.6460434371636963
small,False,False,LEAVE,0.8882106742505979,0.9441367200721987,PROMISE,0.829527175937809,0.1704728240621909,0.6527449679463811,0.3472550320536188
small,False,False,MAKE,0.7916990017608706,0.9507428220925993,BRING,0.2620229109857263,0.7379770890142738,0.09005158268951247,0.9099484173104875
small,False,False,MAKE,0.7916990017608706,0.9507428220925993,DRAW,0.31015618234402054,0.6898438176559795,0.0698265451049641,0.9301734548950358
small,False,False,MAKE,0.7916990017608706,0.9507428220925993,FIND,0.22519288929027428,0.7748071107097257,0.03777100570726137,0.9622289942927387
small,False,False,MAKE,0.7916990017608706,0.9507428220925993,GET,0.5035690479512014,0.49643095204879856,0.18850879643032467,0.8114912035696753
small,False,False,MAKE,0.7916990017608706,0.9507428220925993,GIVE,0.5850440633939968,0.41495593660600305,0.41951343385594997,0.58048656614405
small,False,False,MAKE,0.7916990017608706,0.9507428220925993,KEEP,0.3166376592298063,0.6833623407701936,0.08834863168766591,0.9116513683123341
small,False,False,MAKE,0.7916990017608706,0.9507428220925993,LEAVE,0.20897393373128967,0.7910260662687104,0.03813097089387002,0.9618690291061301
small,False,False,MAKE,0.7916990017608706,0.9507428220925993,PURCHASE,0.11984065215675045,0.8801593478432496,0.01602281329691633,0.9839771867030837
small,False,False,MAKE,0.7916990017608706,0.9507428220925993,SAVE,0.17562701791025867,0.8243729820897413,0.04391124925103,0.95608875074897
small,False,False,MAKE,0.7916990017608706,0.9507428220925993,SELL,0.16256959731591925,0.8374304026840808,0.08733686266231423,0.9126631373376859
small,False,False,MAKE,0.7916990017608706,0.9507428220925993,SEND,0.3328444588190972,0.6671555411809028,0.14860710213117567,0.8513928978688241
small,False,False,MAKE,0.7916990017608706,0.9507428220925993,SHOW,0.71346050133888,0.28653949866112005,0.5408182864085047,0.45918171359149523
small,False,False,MAKE,0.7916990017608706,0.9507428220925993,SUPPLY,0.26451633773576433,0.7354836622642358,0.10695615559615733,0.8930438444038427
small,False,False,MAKE,0.7916990017608706,0.9507428220925993,DESIGN,0.03511597645298356,0.9648840235470163,0.0039563391099947534,0.9960436608900052
small,False,False,MAKE,0.7916990017608706,0.9507428220925993,TAKE,0.1525772229992699,0.84742277700073,0.03740961820255426,0.9625903817974458
small,False,False,MAKE,0.7916990017608706,0.9507428220925993,FEED,0.6726124890410472,0.327387510958953,0.5319519428861472,0.4680480571138528
small,False,False,MAKE,0.7916990017608706,0.9507428220925993,BUY,0.4753314084837575,0.5246685915162425,0.1431655449857726,0.8568344550142274
small,False,False,MAKE,0.7916990017608706,0.9507428220925993,CATCH,0.4958444728889113,0.5041555271110887,0.18496793576542353,0.8150320642345765
small,False,False,MAKE,0.7916990017608706,0.9507428220925993,DELIVER,0.5751082323157387,0.4248917676842613,0.30136549910891336,0.6986345008910867
small,False,False,MAKE,0.7916990017608706,0.9507428220925993,THROW,0.5747098993025663,0.4252901006974337,0.37250403325661824,0.6274959667433818
small,False,False,MAKE,0.7916990017608706,0.9507428220925993,PROMISE,0.766961676672791,0.233038323327209,0.6169338645912218,0.3830661354087782
small,False,False,PURCHASE,0.9475316517769848,0.925644049061646,BRING,0.3929544848564309,0.607045515143569,0.12445165555450027,0.8755483444454997
small,False,False,PURCHASE,0.9475316517769848,0.925644049061646,DRAW,0.4063785151886749,0.593621484811325,0.0735920287275133,0.9264079712724868
small,False,False,PURCHASE,0.9475316517769848,0.925644049061646,FIND,0.3657991044331287,0.6342008955668714,0.050131831711508174,0.9498681682884919
small,False,False,PURCHASE,0.9475316517769848,0.925644049061646,GET,0.5946567619666513,0.40534323803334865,0.17598519173560295,0.824014808264397
small,False,False,PURCHASE,0.9475316517769848,0.925644049061646,GIVE,0.6082368314439492,0.3917631685560509,0.4649515245490879,0.5350484754509123
small,False,False,PURCHASE,0.9475316517769848,0.925644049061646,KEEP,0.3763807079631753,0.6236192920368248,0.09757486983288004,0.9024251301671201
small,False,False,PURCHASE,0.9475316517769848,0.925644049061646,LEAVE,0.2897144491040684,0.7102855508959317,0.03159378139075498,0.9684062186092451
small,False,False,PURCHASE,0.9475316517769848,0.925644049061646,MAKE,0.3293964822973169,0.6706035177026831,0.12104610363898638,0.8789538963610135
small,False,False,PURCHASE,0.9475316517769848,0.925644049061646,SAVE,0.30368813806769374,0.6963118619323063,0.03261648538539963,0.9673835146146004
small,False,False,PURCHASE,0.9475316517769848,0.925644049061646,SELL,0.28593234320199007,0.7140676567980099,0.09051577155868884,0.9094842284413112
small,False,False,PURCHASE,0.9475316517769848,0.925644049061646,SEND,0.4029078125993657,0.5970921874006343,0.18268237727663855,0.8173176227233614
small,False,False,PURCHASE,0.9475316517769848,0.925644049061646,SHOW,0.7643536059304478,0.23564639406955226,0.5650397962279682,0.4349602037720318
small,False,False,PURCHASE,0.9475316517769848,0.925644049061646,SUPPLY,0.45804306949193746,0.5419569305080626,0.13144738902822792,0.8685526109717719
small,False,False,PURCHASE,0.9475316517769848,0.925644049061646,DESIGN,0.09358917020239417,0.9064108297976058,0.004351314551645023,0.9956486854483549
small,False,False,PURCHASE,0.9475316517769848,0.925644049061646,TAKE,0.21164722627443383,0.7883527737255662,0.038167417730903465,0.9618325822690966
small,False,False,PURCHASE,0.9475316517769848,0.925644049061646,FEED,0.7255204157200511,0.27447958427994884,0.49988162463563496,0.500118375364365
small,False,False,PURCHASE,0.9475316517769848,0.925644049061646,BUY,0.7648582345415003,0.23514176545849977,0.10928121808203745,0.8907187819179626
small,False,False,PURCHASE,0.9475316517769848,0.925644049061646,CATCH,0.6208977596514207,0.3791022403485793,0.18850390581889742,0.8114960941811026
small,False,False,PURCHASE,0.9475316517769848,0.925644049061646,DELIVER,0.6954710407651834,0.3045289592348166,0.3147939013037796,0.6852060986962204
small,False,False,PURCHASE,0.9475316517769848,0.925644049061646,THROW,0.6445707024895893,0.3554292975104106,0.40016546682924287,0.5998345331707572
small,False,False,PURCHASE,0.9475316517769848,0.925644049061646,PROMISE,0.8600651628641672,0.1399348371358327,0.6988028205008062,0.3011971794991937
small,False,False,SAVE,0.8954584072586842,0.9419733086036101,BRING,0.37396823023026393,0.6260317697697361,0.1591551703787921,0.8408448296212079
small,False,False,SAVE,0.8954584072586842,0.9419733086036101,DRAW,0.3848632147642059,0.6151367852357942,0.06094604518779846,0.9390539548122016
small,False,False,SAVE,0.8954584072586842,0.9419733086036101,FIND,0.33044793434857084,0.6695520656514293,0.06579812897660281,0.9342018710233972
small,False,False,SAVE,0.8954584072586842,0.9419733086036101,GET,0.5294795306208475,0.47052046937915265,0.2241302759458882,0.7758697240541119
small,False,False,SAVE,0.8954584072586842,0.9419733086036101,GIVE,0.5873728870127876,0.41262711298721255,0.448350523087739,0.5516494769122611
small,False,False,SAVE,0.8954584072586842,0.9419733086036101,KEEP,0.35411816800002766,0.6458818319999723,0.09838828258134383,0.9016117174186562
small,False,False,SAVE,0.8954584072586842,0.9419733086036101,LEAVE,0.2816533172175497,0.7183466827824503,0.03209202061998211,0.9679079793800178
small,False,False,SAVE,0.8954584072586842,0.9419733086036101,MAKE,0.2977495546095462,0.7022504453904537,0.10831434020165817,0.8916856597983418
small,False,False,SAVE,0.8954584072586842,0.9419733086036101,PURCHASE,0.2825322396200143,0.7174677603799857,0.011802205027938556,0.9881977949720614
small,False,False,SAVE,0.8954584072586842,0.9419733086036101,SELL,0.26870068971994554,0.7312993102800545,0.07921687888419562,0.9207831211158044
small,False,False,SAVE,0.8954584072586842,0.9419733086036101,SEND,0.4200682335829343,0.5799317664170657,0.1808264720968057,0.8191735279031943
small,False,False,SAVE,0.8954584072586842,0.9419733086036101,SHOW,0.7714257739816404,0.2285742260183595,0.5552909235264392,0.44470907647356095
small,False,False,SAVE,0.8954584072586842,0.9419733086036101,SUPPLY,0.4132317995969682,0.5867682004030318,0.11443104028091615,0.885568959719084
small,False,False,SAVE,0.8954584072586842,0.9419733086036101,DESIGN,0.05244555733767447,0.9475544426623256,0.0037366915183218706,0.9962633084816781
small,False,False,SAVE,0.8954584072586842,0.9419733086036101,TAKE,0.21892681038886258,0.7810731896111374,0.03538644490398004,0.9646135550960199
