size,pronoun,prime_verb,pd_bias,pd_bias_ratio,DO-DO,DO-PD,PD-DO,PD-PD
large,True,SELL,0.10459936571297021,1.079809402317612,0.76041525578552,0.23958474421447998,0.6454296896374736,0.35457031036252645
large,True,SEND,0.2093788550515309,1.0466693995321275,0.7323891960790785,0.2676108039209216,0.6494111423609102,0.35058885763908987
large,True,SHOW,0.027868526916170245,1.118080464109574,0.7364155288276866,0.2635844711723134,0.6798233726766534,0.32017662732334656
large,True,SUPPLY,0.450441452994009,1.0066970600263945,0.7422630665493438,0.2577369334506563,0.6598824667539586,0.34011753324604144
large,True,DESIGN,0.6812571741187582,0.9714467202538762,0.7864480010972827,0.21355199890271737,0.6711999599446975,0.3288000400553025
large,True,TAKE,0.7502584350972568,0.9631662900273216,0.7964604280819219,0.20353957191807814,0.6888449583656624,0.3111550416343376
large,True,FEED,0.04380972445581466,1.096502719259238,0.7819578670031591,0.21804213299684086,0.6899324020373845,0.3100675979626157
large,True,BUY,0.2095020819516428,1.0495534217508888,0.7725449440779157,0.22745505592208431,0.6491382578255488,0.3508617421744512
large,True,CATCH,0.40370908540848394,1.0151854922174977,0.7808682289283899,0.2191317710716101,0.655126426439565,0.3448735735604349
large,True,DELIVER,0.16087397876983453,1.0545873580289453,0.7671942401666614,0.23280575983333857,0.6714195037379991,0.328580496262001
large,True,THROW,0.3250851342905483,1.026232942709633,0.7771020896815551,0.22289791031844486,0.690462380468666,0.3095376195313339
large,True,PROMISE,0.07913517404262668,1.0952613058300573,0.7892606123822519,0.2107393876177482,0.7100536219424443,0.2899463780575557
large,False,BRING,0.6812242754997793,0.9737353425039001,0.5425369183998573,0.4574630816001427,0.32288979968791753,0.6771102003120825
large,False,DRAW,0.8227842095517811,0.9547350249889637,0.5359606596902546,0.4640393403097453,0.2937159100267939,0.7062840899732061
large,False,FIND,0.6131180560913351,0.9855142537179192,0.5496369235839478,0.4503630764160523,0.3131615389897312,0.6868384610102688
large,False,GET,0.5157964507978451,1.000283847554781,0.5552642960931652,0.44473570390683476,0.3085918096961,0.6914081903039
large,False,GIVE,0.4204006863336395,1.0115858302021428,0.5215277351532924,0.4784722648467075,0.29788282909650227,0.7021171709034976
large,False,KEEP,0.856677828757165,0.9479998189080441,0.549212634251909,0.450787365748091,0.28796363423069227,0.7120363657693076
large,False,LEAVE,0.654008078346267,0.9798754280180251,0.5168129231641911,0.4831870768358089,0.28419864423551616,0.7158013557644838
large,False,MAKE,0.7248922539701712,0.9665614903503092,0.5173169190774262,0.4826830809225739,0.3004843076350605,0.6995156923649395
large,False,PURCHASE,0.896434786526471,0.9354936202121199,0.5179228808288939,0.48207711917110596,0.2876532778133752,0.712346722186625
large,False,SAVE,0.713223799493014,0.9683193429157099,0.5052196965920068,0.4947803034079933,0.2849638626582215,0.7150361373417785
large,False,SELL,0.7247807034843005,0.9709848745817798,0.5255838208342588,0.47441617916574114,0.30454655604547465,0.6954534439545252
large,False,SEND,0.7157431816342839,0.9718407643416236,0.5225241797065459,0.4774758202934542,0.2961052034682865,0.7038947965317136
large,False,SHOW,0.3376361438904312,1.0208032413259585,0.47401380989373965,0.5259861901062604,0.31894239465425434,0.6810576053457457
large,False,SUPPLY,0.9435450211659652,0.9258670922836312,0.5021045932947061,0.49789540670529386,0.29758887961769753,0.7024111203823025
large,False,DESIGN,0.9766451904216075,0.902915463666968,0.5044505519120984,0.49554944808790163,0.32305168883123386,0.6769483111687661
large,False,TAKE,0.9289589970351598,0.9150192259913563,0.5817969623577829,0.41820303764221706,0.3568484771146686,0.6431515228853314
large,False,FEED,0.3593829892292066,1.01799671716838,0.4875476450578047,0.5124523549421952,0.3058697540338584,0.6941302459661418
large,False,BUY,0.48754796109221654,1.0022688889170173,0.5409934804295926,0.4590065195704074,0.284791665539021,0.715208334460979
large,False,CATCH,0.6574697368768901,0.9812059403045582,0.5160615021792219,0.483938497820778,0.28433256007899815,0.715667439921002
large,False,DELIVER,0.4624696200113526,1.0073008407495614,0.5332503239358249,0.46674967606417506,0.2932972041448577,0.7067027958551423
large,False,THROW,0.5909192247247329,0.9895504237095812,0.5374662804667393,0.4625337195332607,0.3180731573702447,0.6819268426297551
large,False,PROMISE,0.3864643648185147,1.014846012596297,0.552003028567891,0.44799697143210915,0.3234150670434612,0.6765849329565388
